"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"INNOVAGE VIRGINIA PACE-ROANOKE VALLEY, LLC","InnovAge Virginia PACE- Roanoke Valley","H1239","National PACE","National PACE","11/01/2013","For Profit","Total Community Options, Inc.","Philadelphia","173","8950 East Lowry Blvd.","","Denver","CO","80230","Director of Communication","Rasmussen","Sarah","","1-303-869-4664","","","srasmussen@myinnovage.com","8950 East Lowry Blvd.","","Denver","CO","80230","10/30/2018"
"INNOVATION HEALTH INSURANCE COMPANY","Innovation Health Medicare","H1100","Local CCP","Local PPO","01/01/2018","For Profit","Innovation Health Holdings, LLC","Philadelphia","739","3190 Fairview Park Drive","Ste 570","Falls Church","VA","22042","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","02/06/2017"
"INNOVATION HEALTH PLAN, INC.","Innovation Health Medicare","H2829","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Innovation Health Holdings, LLC","Philadelphia","6,088","3190 Fairview Park Drive","Ste 570","Falls Church","VA","22042","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","02/06/2017"
"INNOVATIVE INTEGRATED HEALTH, INC.","Innovative Integrated Health Inc.","H9592","National PACE","National PACE","08/01/2014","For Profit","Innovative Integrated Health, Inc.","San Francisco","541","1200 Newport Center Dr","230","Newport Beach","CA","92660","Administrator","Marouf","Abe","","1-559-400-6422","","1-877-641-0513","gmarouf@cvmedicalservices.org","2042 Kern St.","","Fresno","CA","93721","09/02/2014"
"INSPIRA HEALTH NETWORK LIFE, INC.","Inspira Health Network LIFE","H6887","National PACE","National PACE","08/01/2011","Not-for-Profit/Non-Profit","Inspira Health Network, Inc.","New York","250","2445 Delsea Drive","","Vineland","NJ","08360","Executive Director","Viggiano","Jill","","1-856-418-5433","","","viggianojA@ihn.org","2445 S Delsea Drive","","Vineland","NJ","08360","01/23/2019"
"INSURANCE COMPANY OF SCOTT AND WHITE","Scott and White Health Plan","H2032","Local CCP","Local PPO","01/01/2018","For Profit","Baylor Scott & White Holdings","Dallas","2,405","1206 West Campus Dr","","Temple","TX","76502","Compliance Officer","Cornett","Amy","","1-254-298-3211","","","Amy.Cornett@BSWHealth.org","1206 West Campus Drive","","Temple","TX","76502","07/06/2020"
"INTEGRA MLTC, INC","Integra Managed Care","H1205","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Personal Touch Holding Corp.","New York","","1981 Marcus Ave – Suite 100","","Lake Success","NY","11042","Chief Compliance and Priv","McGrath","Maura","","1-347-505-3477","","","mmcgrath@integraplan.org","3 Dakota Drive","Suite 100","Lake Success","NY","11042","04/07/2020"
"INTER VALLEY HEALTH PLAN, INC.","Inter Valley Health Plan","H0545","Local CCP","HMO/HMOPOS","06/01/1986","Not-for-Profit/Non-Profit","InterValley Health Plan","Denver","18,166","300 SOUTH PARK AVENUE","PO BOX 6002","POMONA","CA","917696002","Manager, Enrollment & Rei","Porter","Kim","","1-800-251-8191","426","","cmscasework@ivhp.com","300 S. Park Ave.","","Pomona","CA","91766","09/19/2006"
"INTERNATIONAL COMMUNITY HEALTH SERVICES","International Community Health Services","H3084","National PACE","National PACE","07/01/2019","Not-for-Profit/Non-Profit","International Community Health Services","Seattle","60","720 8th Ave South","","Seattle","WA","98104","Healthy Aging & Wellness","Wong","Mike","","1-206-462-7189","","","warrenw@ichs.com","PO Box 3007","","Seattle","WA","98114","02/11/2020"
"ISNP VENTURES, LLC","KeyCare Advantage","H6959","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","ISNP Holdings, LLC","Philadelphia","431","8028 Ritchie Highway","Suite 210","Pasadena","MD","21122","","French","Kirk","","1-844-854-6883","","1-800-375-6496","kirk.french@allyalign.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","01/15/2020"
"ITASCA MEDICAL CARE","Itasca Medical Care/IMCare Classic","H2417","Local CCP","HMO/HMOPOS","06/01/2005","Not-for-Profit/Non-Profit","Itasca County","Chicago","408","1219 SE 2ND AVENUE","","GRAND RAPIDS","MN","55744","CEO","Duell","Sarah","","1-218-327-6789","","1-218-327-5545","sarah.duell@co.itasca.mn.us","1219 SE 2nd Ave.","","Grand Rapids","MN","55744","12/26/2016"
"KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES","Kaiser Permanente","H2172","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","78,185","2101 E Jefferson St","","Rockville","MD","20852","Manager, Provider Experie","Anderson","Allison","","1-301-816-6481","","1-866-640-9826","allison.x.anderson@kp.org","2101 East Jefferson Street","","Rockville","MD","20852","10/25/2017"
"KAISER FNDN HP OF THE MID-ATLANTIC STS","Kaiser Permanente","H2150","1876 Cost","1876 Cost","01/01/1991","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","10,023","2101 EAST JEFFERSON ST","","ROCKVILLE","MD","20852","Manager, Provider Experie","Anderson","Allison","","1-301-816-6481","","1-866-640-9826","allison.x.anderson@kp.org","2101 East Jefferson Street","","Rockville","MD","20852","05/22/2020"
"KAISER FOUNDATION HEALTH PLAN OF WASHINGTON","Kaiser Foundation Health Plan of Washington","H5050","Local CCP","HMO/HMOPOS","01/01/1989","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","96,493","Two Union Square","PO Box 35173","SEATTLE","WA","981245173","Health Plan Operations","Assistance Unit","Provider","","1-888-767-4670","","1-509-249-7615","Elizabeth.B.Johnson@kp.org","Kaiser Permanente, Kaiser Foundation Health Plan of WA","PO Box 204 Mail Stop: ACN-AC17","Spokane","WA","99210-9809","08/06/2018"
"KAISER FOUNDATION HP OF CO","Kaiser Permanente","H0630","Local CCP","HMO/HMOPOS","01/01/1986","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","111,335","10350 E Dakota Avenue","PO Box 378066","Denver","CO","80247","","Services","Member","","1-800-632-9700","","1-303-338-3444","colorado.cs@kp.org","2500 S. Havana St.","","Aurora","CO","80014","03/29/2013"
"KAISER FOUNDATION HP OF GA, INC.","Kaiser Permanente","H1170","Local CCP","HMO/HMOPOS","01/01/1997","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","32,411","3495 PIEDMONT ROAD","BUILDING 9","ATLANTA","GA","30305","","Services","Member","","1-800-232-4440","","1-404-364-4939","kpnet@kp.org","3495 Piedmont Road NE","Ten Piedmont Center","Atlanta","GA","30305","06/03/2011"
"KAISER FOUNDATION HP OF THE N W","Kaiser Permanente","H9003","Local CCP","HMO/HMOPOS","04/01/1980","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","98,293","500 NE Multnomah St","SUITE 100","PORTLAND","OR","97232","","Services","Member","","1-877-221-8221","","","kaiserpermanente@kp.org","500 NE Multnomah St.,Suite 100","","Portland","OR","97232","04/05/2007"
"KAISER FOUNDATION HP, INC.","Kaiser Permanente","H0524","Local CCP","HMO/HMOPOS","08/01/1987","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","1,262,625","P.O. BOX 12916","","OAKLAND","CA","946042916","","Services","Member","","1-800-443-0815","","","mscc@kp.org","10740 Fourth St., Second Floor","","Rancho Cucamonga","CA","91730","10/10/2014"
"KAISER FOUNDATION HP, INC.","Kaiser Permanente","H1230","Local CCP","HMO/HMOPOS","05/01/1986","Not-for-Profit/Non-Profit","Kaiser Foundation Health Plan, Inc.","San Francisco","33,646","711 KAPIOLANI BLVD","","HONOLULU","HI","96813","Medicare Compliance Consu","Ripley","Shawn","","1-808-348-7832","","1-808-432-5427","shawn.x.ripley@kp.org","1 Kaiser Plaza","Floor 12","Oakland","CA","94612","01/08/2019"
"KALOS HEALTH, INC.","Kalos Health Plan","H3227","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Kalos Health, Inc.","New York","308","2424 Niagara Falls Blvd","","Niagara Falls","NY","14304","CFO & COO","Figliomeni","Carlo","","1-716-304-1212","","1-716-731-2013","carlo@kaloshealth.org","2424 Niagara Falls Blvd","","Niagara Falls","NY","14304","06/19/2020"
"KANSAS SUPERIOR SELECT, INC.","Kansas Health Advantage","H2392","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Kansas Superior Select","Denver","337","201 W. Eighth Street","","Coffeyville","KS","67337","Executive Director","Hatten","Eric","","1-615-595-8383","","1-615-614-8425","ehatten@amhealthplans.com","201 Jordan Rd","Ste 200","Franklin","TN","37067","02/12/2019"
"KEYSTONE HEALTH PLAN CENTRAL, INC.","Keystone Health Plan Central, Inc.","H3962","Local CCP","HMO/HMOPOS","05/01/1996","For Profit","Capital BlueCross","Philadelphia","14,221","P.O. Box 779827","","HARRISBURG","PA","171779827","Medicare Compliance Offic","Knight","Alton","","1-866-688-2242","","","alton.knight@capbluecross.com","2500 Elmerton Avenue","","Harrisburg","PA","17177","05/13/2020"
"KEYSTONE HEALTH PLAN EAST, INC.","Independence Blue Cross","H3952","Local CCP","HMO/HMOPOS","01/01/1993","For Profit","Independence Health Group, Inc.","Philadelphia","84,511","1901 MARKET ST","45TH FLOOR","PHILADELPHIA","PA","19103","","Service","Customer","","1-800-645-3965","","","info@ibxmedicare.com","PO Box 7799","","Philadelphia","PA","19101-7799","04/29/2015"
"KS PLAN ADMINISTRATORS, LLC","KelseyCare Advantage","H0332","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Kelsey-Seybold Medical Group, PLLC","Dallas","38,496","2727 West Holcombe","4th Floor, Admin","Houston","TX","77025","Member Services Represent","Services","Member","","1-866-535-8343","","","memberservices@kelseycareadvantage.com","11511 Shadow Creek Parkway","","Pearland","TX","77584","10/26/2017"
"LA COAST PACE, LLC","LA Coast PACE","H1544","National PACE","National PACE","01/01/2020","For Profit","WelbeHealth LLC.","San Francisco","31","1220 E 4th Street","","Long Beach","CA","90802","","Guel-Valenzuela","Sophia","","1-562-285-6129","","","sophia.guel-valenzuela@welbehealth.com","50 Alessandro Place, Suite A20","","Pasadena","CA","91105","06/08/2020"
"LIBERTY ADVANTAGE, LLC","Liberty Advantage","H6351","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Liberty Healthcare Insurance","Atlanta","591","2334 S. 41st Street","","Wilmington","NC","28403","Compliance Officer","Perry-Ingram","Alexandria","","1-844-854-6884","","","APerryIngram@libertyhcare.com","2334 South 41st Street","","Wilmington","NC","28403","07/15/2020"
"LIFE AT LOURDES, INC.","Trinity Health LIFE New Jersey","H3493","National PACE","National PACE","05/01/2009","Not-for-Profit/Non-Profit","Trinity Health","New York","191","2475 McClellan Ave., Bldg C","Building C","Pennsauken","NJ","08109","Finance Director","Ruprecht","Janice","","1-856-675-3643","","1-856-675-3659","jruprecht@trinity-health.org","2475 McClellan Avenue","Building C","Pennsauken","NJ","08109","03/10/2020"
"LIFE AT ST. FRANCIS HEALTHCARE, INC.","Saint Francis LIFE","H5493","National PACE","National PACE","02/01/2013","Not-for-Profit/Non-Profit","Trinity Health","Philadelphia","240","1072 Justison Street","","Wilmington","DE","19801","Executive Director","Milligan","Amy","L","1-302-660-3352","","1-302-575-8236","amilligan@che-east.org","1072 Justison Street","","Wilmington","DE","19801","05/19/2016"
"LIFE PACE","LIFE PACE, INC.","H6941","National PACE","National PACE","01/01/2015","Not-for-Profit/Non-Profit","LIFE Senior Services, Inc.","Dallas","174","5330 E. 31st Street, Suite 800","","Tulsa","OK","74135","Chief Operating Officer","Fogle","J. Michael","","1-918-664-9000","","","mfogle@lifeseniorservices.org","5330 E. 31st Street, Suite 800","","Tulsa","OK","74135","02/27/2019"
"LIFE ST. FRANCIS","LIFE St. Francis","H1234","National PACE","National PACE","04/01/2009","Not-for-Profit/Non-Profit","Trinity Health","New York","270","7500 K Johnson Blvd","","Bordentown","NJ","08505","Regional Marketing Manage","Lark","Azia","","1-973-518-2754","","1-609-599-6203","azia.lark@trinity-health.org","7500 K Johnson Blvd","","Bordentown","NJ","08505","02/10/2020"
"LIFE ST. JOSEPH OF THE PINES, INC.","LIFE St. Joseph of the Pines","H1500","National PACE","National PACE","04/01/2011","Not-for-Profit/Non-Profit","Trinity Health","Atlanta","251","4900 Raeford Rd","","Fayetteville","NC","28304","Sales and Marketing Manag","Honaker","Meagan","","1-910-429-7223","","1-910-483-4930","mhonaker@trinity-health.org","4900 Raeford Road","","Fayetteville","NC","28304","03/10/2020"
"LIFE ST. MARY","LIFE St. Mary","H6551","National PACE","National PACE","03/01/2010","Not-for-Profit/Non-Profit","Trinity Health","Philadelphia","246","2500 Northgate Road","","Trevose","PA","19053","Executive Director","Sheehan","Mary Ann","","1-267-991-7620","","1-267-991-7618","masheehan@stmaryhealthcare.org","2500 Northgate Road","","Trevose","PA","19053","04/23/2018"
"LIFECIRCLES","LIFECIRCLES","H2936","National PACE","National PACE","02/01/2009","Not-for-Profit/Non-Profit","LifeCircles","Chicago","340","560 Seminole Rd.","","Muskegon","MI","49444","Executive Director","Reynolds","Luke","","1-231-733-8650","","1-231-332-8600","lreynolds@lifecircles-pace.org","560 Seminole Rd.","","Muskegon","MI","49444","04/25/2016"
"LIFEWORKS ADVANTAGE, LLC","LifeWorks Advantage","H2185","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","MFA Lifeworks, LLC","Philadelphia","697","10900 Nuckols Rd.","Suite 110","Glen Allen","VA","23060","","French","Kirk","","1-844-854-6883","","1-800-375-6496","customerservice@lifeworksadvantage.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"LIVING INDEPENDENCE FOR THE ELDERLY","LIFE Pittsburgh","H3918","National PACE","National PACE","05/01/2005","Not-for-Profit/Non-Profit","Living Independence for the Elderly","Philadelphia","561","875 Greentree Road","One Parkway Center, Suite 200","PITTSBURGH","PA","15220","Sr. Director of Finance","Schmitt","Laura","B","1-412-388-8042","","1-412-388-8055","lschmitt@lifepittsburgh.org","875 Greentree Road","One Parkway Center, Suite 200","Pittsburgh","PA","15220","12/13/2016"
"LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY","L.A. Care Cal MediConnect Plan","H8258","Demo","Medicare-Medicaid Plan HMO/HMOPOS","04/01/2014","Not-for-Profit/Non-Profit","Local Initiative Health Authority for LA County","San Francisco","18,321","1055 W. 7th Street","10th Floor","Los Angeles","CA","90017","Customer Solution Center","Service Unit","Provider","","1-866-522-2736","","","mtisdale@lacare.org","1055 West 7th Street","10th floor","Los Angeles","CA","90017","08/06/2020"
"LONGEVITY HEALTH PLAN OF FLORIDA, INC.","Longevity Health Plan","H1644","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Longevity Health Founders, LLC","New York","318","2110 N. Ocean Blvd.","Apt 22B","Fort Lauderdale","FL","33305","","French","Kirk","","1-888-885-7337","","1-888-885-7721","customerservice@longevityhealthplan.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health","H9590","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Longevity Health Founders, LLC","New York","262","1611 Church Street","","Evanston","IL","60201","","French","Kirk","","1-888-885-7337","","1-888-885-7721","customerservice@longevityhealthplan.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP","Longevity Health Plan","H9942","Local CCP","Local PPO","01/01/2020","For Profit","Longevity Health Founders, LLC","New York","463","4006 Route 9 South","","Morganville","NJ","07751","","French","Kirk","","1-888-885-7337","","1-888-885-7721","customerservice@longevityhealthplan.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"LONGEVITY HEALTH PLAN OF NEW YORK, INC.","Longevity Health Plan","H8457","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Longevity Health Founders, LLC","New York","554","485 Madison Avenue","Suite 202","New York","NY","10022","","French","Kirk","","1-888-885-7337","","1-888-885-7721","customerservice@longevityhealthplan.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"LONGEVITY HEALTH PLAN OF OKLAHOMA, INC","Longevity Health Plan","H9095","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Longevity Health Founders, LLC","New York","420","485 Madison Avenue","Suite 202","New York","NY","10022","","French","Kirk","","1-888-885-7337","","1-888-885-7721","customerservice@longevityhealthplan.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"LORETTO INDEPENDENT LIVING SERVICES, INC.","Independent Living Srvcs Of Central Ny","H3321","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Loretto Rest Realty Corporation","New York","595","100 MALTA LANE","","NORTH SYRACUSE","NY","13212","","Turley","Ginny","","1-315-413-4579","","","gturley@lorettosystem.org","100 Malta Lane","","North Syracuse","NY","13212","09/26/2017"
"LOUISIANA HEALTH SERVICE & INDEMNITY COMPANY","Blue Cross and Blue Shield of Louisiana","H1248","Local CCP","Local PPO","01/01/2019","Not-for-Profit/Non-Profit","Louisiana Health Service & Indemnity Company","Dallas","2,516","5525 Reitz Avenue","","Baton Rouge","LA","70809","","Service","Customer","","1-866-508-7145","","","customerservice@blueadvantage.bcbsla.com","13900 Riverport Drive","","Maryland Heights","MO","63043","02/14/2018"
"LOUISIANA HEALTHCARE CONNECTIONS, INC.","Allwell","H5117","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Dallas","681","8585 Archives Avenue 3rd Floor","","Baton Rouge","LA","70809","","Services","Member","","1-855-766-1572","","","CorporateMedicareComplianceDept@CENTENE.COM","8585 Archives Avenue","Suite 310","Baton Rouge","LA","70809","08/15/2017"
"LUBBOCK REGIONAL MENTAL HEALTH MENTAL RETARDATION","Silver Star","H9998","National PACE","National PACE","05/01/2010","Not-for-Profit/Non-Profit","Lubbock Regional Mental Health","Dallas","155","PO Box 2828","4010 22nd Street","LUBBOCK","TX","794082828","Director of Data Manageme","SHELL","BRIAN","","1-806-767-1726","","1-806-791-0578","PACEdatateam@starcarelubbock.org","P.O. Box 2828","","Lubbock","TX","79408","01/18/2019"
"LUTHERAN SENIOR HEALTHCARE, INC.","Lutheran Senior LIFE","H6371","National PACE","National PACE","07/01/2010","Not-for-Profit/Non-Profit","Lutheran Social Ministries of New Jersey","New York","122","3 Manhattan Drive","","Burlington","NJ","08016","Center Manager","Iavarone","Maria","","1-201-499-3900","3879","1-201-706-2092","miavarone@lsmnj.org","377 Jersey Avenue","Suite   310","Jersey City","NJ","07302","01/04/2019"
"MA DELIVERY INNOVATIONS, INC.","MoreCare","H2678","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","MHNU Corporation","Chicago","488","180 N. Stetson Ave.","Ste. 600-1","Chicago","IL","60601","","Trunkett","Camille","","1-312-274-0126","1227","","ctrunkett@morecareil.com","180 N. Stetson Avenue","Suite 600-1","Chicago","IL","60601","01/30/2020"
"MAGELLAN COMPLETE CARE OF ARIZONA, INC.","Magellan Complete Care","H8845","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Magellan Health, Inc.","Chicago","51","4801 E Washington Street","Suite 225","Phoenix","AZ","85034","Sr. Manager, Call Center","Mendez","Keyssir","","1-617-252-6308","","","mendezk@magellanhealth.com","58 Charles Street","","Cambrisge","MA","02141","02/17/2020"
"MAGELLAN COMPLETE CARE OF VIRGINIA, INC.","Magellan Complete Care","H7559","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Magellan Health, Inc.","Chicago","208","3829 Gaskins Road","","Richmond","VA","23233","Sr. Manager, Customer Car","Mendez","Keyssir","","1-617-252-6308","","","mendezk@magellanhealth.com","58 Charles Street","","Cambridge","MA","02141","02/14/2020"
"MAGNOLIA HEALTH PLAN, INC.","Allwell","H9811","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Centene Corporation","Dallas","1,293","111 E. Capitol Street Suite 500","","Jackson","MS","39201","","Services","Provider","","1-877-935-8023","","","CorporateMedicareComplianceDept@CENTENE.COM","5900 E. Ben White Blvd.","","Austin","TX","78741","06/04/2018"
"MAMSI LIFE AND HEALTH INSURANCE COMPANY","UnitedHealthcare","H8211","Local CCP","Local PPO","01/01/2018","For Profit","UnitedHealth Group, Inc.","San Francisco","5,786","800 King Farm Boulevard","","Rockville","MD","20850","","Service","Customer","","1-800-643-4845","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"MANAGED HEALTH SERVICES, WISCONSIN","Allwell","H8189","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","Centene Corporation","Dallas","1,671","10700 West Research Drive Suite 300","","Milwaukee","WI","53226","","Services","Provider","","1-800-222-9831","","","CorporateMedicareComplianceDept@CENTENE.COM","10700 W Research Drive","Suite 300","Milwaukee","WI","53226","08/11/2017"
"MARQUIS ADVANTAGE, INC.","AgeRight Advantage","H1372","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Marquis Companies I, Inc.","Seattle","585","4560 SE International Way","#100","Milwaukie","OR","97222","","French","Kirk","","1-844-854-6883","","1-800-375-6496","customerservice@agerightadvantage.com","P.O. Box 2190","","Glen Allen","VA","23058-2190","12/08/2019"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","H1365","Local CCP","Local PPO","01/01/2010","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","Boston","1,543","PO Box 9746","331 Veranda St.","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","01/12/2017"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","R0802","Regional CCP","Regional PPO","01/01/2019","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","Boston","6,033","P.O. Box 9746","331 Veranda Street","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","02/14/2018"
"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Generations Advantage","H5591","Local CCP","HMO/HMOPOS","01/01/2007","Not-for-Profit/Non-Profit","Martin's Point Health Care, Inc.","Boston","48,256","P.O. Box 9746","331 Veranda Street","Portland","ME","04104","Director Compliance & MCO","Loomis","Elizabeth","","1-888-732-7364","","","elizabeth.loomis@martinspoint.org","P.O. Box 9746","331 Veranda Street Bldg 2","Portland","ME","04104","02/05/2018"
"MARY WASHINGTON HEALTH PLAN","Mary Washington Medicare Advantage","H2825","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Mary Washington Healthcare","Philadelphia","1,610","2300 Fall Hill Ave","Suite 308a","Fredericksburg","VA","22401","","Customer Service","Lumeris","","1-844-529-3760","","","customerservice@mwmaplan.com","13900 Riverport Drive","","Maryland Heights","MO","63043","10/23/2019"
"MATTHEW THORNTON HEALTH PLAN, INC.","Anthem Blue Cross and Blue Shield","H3536","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Anthem Inc.","Chicago","2,910","3000 Goffs Falls Road","","Manchester","NH","031110001","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"MCGREGOR PACE","McGregor PACE","H3613","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","McGregor at Overlook","Chicago","530","26310 Emery Road","","Warrensville HEIGHTS","OH","44128","CEO","McCoy","Tangi","","1-216-791-3580","","","tangi.mccoy@mcgregoramasa.org","26310 Emery Road","","Warrensville Heights","OH","44128","04/03/2016"
"MCS ADVANTAGE, INC.","MCS Classicare","H5577","Local CCP","HMO/HMOPOS","01/01/2007","For Profit","Medical Card System, Inc.","New York","182,881","MCS Plaza","255 Ponce De Leon Ave.","San Juan","PR","00918","Corporate Communications","Rodriguez","Ivette","","1-787-758-2500","5202","","ivrodriguez@medicalcardsystem.com","MCS Plaza","255 Ponce de Leon Avenue, Second Floor","San Juan","PR","00918","07/27/2020"
"MEDICA COMMUNITY HEALTH PLAN","Medica","H0798","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","Medica Holding Company","Kansas City","170","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","01/15/2019"
"MEDICA COMMUNITY HEALTH PLAN","Medica","H3632","Local CCP","Local PPO","01/01/2020","Not-for-Profit/Non-Profit","Medica Holding Company","Kansas City","49","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","01/15/2019"
"MEDICA HEALTH PLANS","Medica","H2458","Local CCP","HMO/HMOPOS","07/01/1997","Not-for-Profit/Non-Profit","Medica Holding Company","Chicago","10,816","401 Carlson Parkway","","MINNETONKA","MN","55305","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","08/22/2006"
"MEDICA HEALTH PLANS","Medica","H9952","Local CCP","HMO/HMOPOS","01/01/2019","Not-for-Profit/Non-Profit","Medica Holding Company","Chicago","1,664","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","02/13/2018"
"MEDICA HEALTH PLANS","Medica","H8889","Local CCP","Local PPO","01/01/2019","Not-for-Profit/Non-Profit","Medica Holding Company","Kansas City","26,708","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","01/25/2018"
"MEDICA HEALTH PLANS","Medica","H6154","Local CCP","HMO/HMOPOS","01/01/2018","Not-for-Profit/Non-Profit","Medica Holding Company","Kansas City","1,702","401 Carlson Parkway","","Minnetonka","MN","55305","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","01/13/2017"
"MEDICA HEALTHCARE PLANS, INC.","UnitedHealthcare","H5420","Local CCP","HMO/HMOPOS","06/01/2005","For Profit","UnitedHealth Group, Inc.","San Francisco","43,954","9100 South Dadeland Boulevard","Suite 1250","Miami","FL","33156","","Service","Customer","","1-800-407-9069","","","cs_evercare@uhc.com","PO Box 29675","","Hot Springs","AR","71903","06/12/2018"
"MEDICA INSURANCE COMPANY","Medica","H2450","1876 Cost","1876 Cost","01/01/1990","Not-for-Profit/Non-Profit","Medica Holding Company","Kansas City","84,949","401 Carlson Parkway","P.O. BOX 9310","MINNEAPOLIS","MN","554409310","","Service","Customer","","1-800-234-8755","","","centerforhealthyaging@medica.com","401 Carlson Parkway","","Minnetonka","MN","55305","08/23/2006"
